Date,City,State,AQI,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity_%,Wind_kmph,Rainfall_mm,Traffic_Index,Industrial_Index,Population_Density,Season,AQI_Category,Health_Advisory
2024-01-11,Delhi,Delhi,444,119.7,66.9,99.5,64.0,3.26,131.4,44.2,92,21.4,22.3,70,68,9853,Winter,Severe,Stay indoors
2024-02-21,Patna,Bihar,419,18.5,201.8,14.0,58.5,0.95,154.0,20.9,76,21.7,54.5,36,44,28728,Winter,Severe,Stay indoors
2023-08-18,Chennai,Tamil Nadu,71,226.6,143.8,20.0,42.5,3.25,37.3,19.7,55,1.5,116.1,61,39,22638,Monsoon,Satisfactory,Normal
2024-01-20,Bengaluru,Karnataka,119,84.7,191.6,58.4,78.2,1.15,14.5,31.0,66,19.5,8.9,67,10,5437,Winter,Moderate,Sensitive groups caution
2025-10-21,Chandigarh,Chandigarh,45,44.0,254.0,102.6,59.6,2.08,173.7,23.7,25,14.3,62.1,64,11,1198,Autumn,Good,Normal
2024-09-09,Bengaluru,Karnataka,366,70.3,175.9,80.6,46.4,0.35,123.5,23.3,84,19.1,71.1,76,56,650,Summer,Very Poor,Stay indoors
2023-12-13,Ahmedabad,Gujarat,429,144.4,286.4,91.4,40.9,1.56,162.7,38.9,48,3.3,76.8,25,44,15515,Winter,Severe,Stay indoors
2024-12-03,Kolkata,West Bengal,324,249.6,36.5,70.8,62.0,1.16,123.1,25.1,52,24.0,59.1,29,68,13672,Monsoon,Very Poor,Stay indoors
2023-08-10,Bengaluru,Karnataka,91,78.1,276.0,18.9,9.0,0.99,96.0,19.8,64,1.2,38.0,96,21,11098,Autumn,Satisfactory,Normal
2024-06-23,Mumbai,Maharashtra,143,90.5,24.8,101.8,79.8,2.39,66.4,39.1,57,27.3,51.8,49,58,19723,Autumn,Moderate,Sensitive groups caution
2023-11-06,Ahmedabad,Gujarat,208,78.2,102.8,30.5,10.9,1.64,95.7,30.7,52,6.5,13.4,74,19,14618,Winter,Poor,Limit outdoor activity
2024-11-28,Mumbai,Maharashtra,123,113.1,20.4,43.3,33.0,0.59,21.0,36.0,28,9.0,17.2,92,39,16463,Winter,Moderate,Sensitive groups caution
2024-02-10,Bengaluru,Karnataka,338,121.3,231.4,110.7,20.3,1.09,98.6,28.2,48,19.8,94.0,67,98,15257,Monsoon,Very Poor,Stay indoors
2023-11-23,Chennai,Tamil Nadu,420,156.9,148.8,111.6,23.1,3.45,176.2,36.2,77,27.3,26.7,63,100,2517,Summer,Severe,Stay indoors
2024-10-24,Bengaluru,Karnataka,325,150.9,201.0,12.9,50.0,3.24,75.3,34.8,79,8.2,41.9,34,18,14172,Summer,Very Poor,Stay indoors
2024-07-16,Patna,Bihar,68,245.4,312.0,61.6,40.0,0.24,62.2,11.9,31,6.3,28.9,27,24,1628,Summer,Satisfactory,Normal
2025-08-12,Mumbai,Maharashtra,165,49.7,329.7,92.0,46.3,1.9,94.7,10.4,59,6.7,20.3,92,69,10417,Autumn,Moderate,Sensitive groups caution
2024-03-10,Hyderabad,Telangana,446,145.5,24.6,22.9,23.9,2.07,110.6,37.2,49,26.4,102.5,91,11,26236,Summer,Severe,Stay indoors
2025-08-26,Hyderabad,Telangana,266,120.3,245.5,6.1,11.2,0.85,12.5,13.8,57,3.8,18.3,68,58,4068,Monsoon,Poor,Limit outdoor activity
2025-11-28,Patna,Bihar,394,210.0,331.3,20.4,35.7,0.47,163.0,33.4,31,2.2,115.5,83,26,27971,Autumn,Very Poor,Stay indoors
2025-04-13,Delhi,Delhi,90,183.4,340.7,14.9,33.3,0.66,153.6,18.7,47,17.6,112.9,49,42,10267,Autumn,Satisfactory,Normal
2023-08-23,Pune,Maharashtra,343,98.4,222.5,87.8,34.9,2.94,99.6,17.6,88,18.6,58.2,46,32,20848,Summer,Very Poor,Stay indoors
2024-01-04,Pune,Maharashtra,66,219.0,75.5,25.5,66.9,2.16,78.0,13.9,61,20.7,8.1,56,93,26090,Autumn,Satisfactory,Normal
2023-12-15,Jaipur,Rajasthan,227,93.2,166.9,22.5,72.7,0.81,28.1,43.1,46,2.4,38.4,88,81,28462,Winter,Poor,Limit outdoor activity
2024-07-27,Kolkata,West Bengal,424,87.8,155.7,15.9,28.7,0.59,51.9,21.7,20,11.5,55.4,28,100,10630,Winter,Severe,Stay indoors
2024-04-18,Chennai,Tamil Nadu,231,202.8,39.5,29.3,42.1,1.08,109.6,30.5,94,9.9,60.7,22,10,4336,Monsoon,Poor,Limit outdoor activity
2025-09-03,Chandigarh,Chandigarh,443,145.4,37.4,84.0,51.3,0.21,174.7,15.0,59,2.9,107.3,22,87,12411,Autumn,Severe,Stay indoors
2024-03-11,Kolkata,West Bengal,332,109.0,217.7,22.3,79.1,3.15,170.1,33.5,23,26.6,20.0,68,54,9867,Winter,Very Poor,Stay indoors
2023-05-09,Chandigarh,Chandigarh,238,137.6,290.6,67.2,16.9,2.05,86.6,11.5,47,13.1,63.7,87,26,9024,Winter,Poor,Limit outdoor activity
2023-06-03,Lucknow,Uttar Pradesh,249,21.6,25.0,43.2,51.2,0.78,79.7,11.0,29,22.6,105.5,73,26,12168,Monsoon,Poor,Limit outdoor activity
2024-04-28,Jaipur,Rajasthan,256,48.5,56.9,15.4,9.6,0.33,166.6,38.9,84,28.5,58.9,58,65,8981,Summer,Poor,Limit outdoor activity
2023-01-08,Hyderabad,Telangana,257,158.5,330.6,25.7,67.0,3.31,61.3,19.1,70,2.3,26.4,80,63,5372,Autumn,Poor,Limit outdoor activity
2023-05-02,Ahmedabad,Gujarat,251,19.8,32.0,65.5,35.3,3.39,168.3,36.7,42,10.0,54.1,20,79,23193,Summer,Poor,Limit outdoor activity
2023-01-20,Chennai,Tamil Nadu,201,28.4,101.0,34.7,40.6,2.8,39.9,20.1,84,18.7,9.0,94,63,11864,Autumn,Poor,Limit outdoor activity
2023-01-03,Kolkata,West Bengal,168,21.5,66.0,22.3,74.2,0.5,16.1,30.4,77,9.7,47.2,63,11,4682,Autumn,Moderate,Sensitive groups caution
2024-02-19,Pune,Maharashtra,131,158.0,91.8,41.8,60.2,2.51,175.8,36.1,24,24.2,59.2,78,49,17372,Winter,Moderate,Sensitive groups caution
2023-12-10,Chennai,Tamil Nadu,429,162.7,328.7,18.9,4.4,1.27,21.2,18.2,29,16.0,111.4,20,24,13552,Summer,Severe,Stay indoors
2023-06-30,Hyderabad,Telangana,214,24.3,125.2,24.5,65.8,2.66,47.2,25.9,93,8.4,7.5,61,60,24046,Autumn,Poor,Limit outdoor activity
2023-06-25,Kolkata,West Bengal,370,135.0,161.4,11.0,48.3,2.53,25.9,39.3,66,6.2,46.1,79,75,22093,Winter,Very Poor,Stay indoors
2025-05-06,Ahmedabad,Gujarat,448,103.0,327.4,79.0,49.1,1.2,50.6,33.4,33,13.1,67.4,43,97,5031,Winter,Severe,Stay indoors
2025-09-02,Delhi,Delhi,382,105.0,86.4,62.1,34.6,2.28,141.7,38.3,30,25.1,2.1,71,14,4542,Monsoon,Very Poor,Stay indoors
2024-11-24,Kolkata,West Bengal,154,96.5,235.4,7.3,10.7,2.68,146.5,32.4,94,13.9,112.0,71,81,9695,Monsoon,Moderate,Sensitive groups caution
2024-12-15,Hyderabad,Telangana,155,90.6,238.8,81.9,70.8,2.58,129.6,35.5,45,26.1,107.4,28,13,5380,Monsoon,Moderate,Sensitive groups caution
2025-06-03,Chennai,Tamil Nadu,318,29.9,168.4,7.9,53.4,0.24,57.5,41.5,87,11.7,104.2,87,33,14951,Monsoon,Very Poor,Stay indoors
2025-12-14,Pune,Maharashtra,438,41.1,143.9,32.5,41.6,3.13,32.4,29.2,29,1.6,67.4,50,71,1352,Winter,Severe,Stay indoors
2025-10-03,Chandigarh,Chandigarh,155,79.4,156.0,45.0,78.7,1.91,74.2,10.9,53,20.1,25.8,33,46,24803,Winter,Moderate,Sensitive groups caution
2023-04-03,Kolkata,West Bengal,331,241.0,239.1,23.8,53.3,2.17,138.8,18.1,57,22.1,41.7,86,36,6205,Monsoon,Very Poor,Stay indoors
2023-06-02,Bengaluru,Karnataka,81,39.6,157.9,20.0,9.6,2.45,154.0,39.6,87,23.9,49.3,26,49,16040,Summer,Satisfactory,Normal
2025-09-18,Mumbai,Maharashtra,421,179.6,251.2,112.9,74.6,1.61,48.5,22.6,60,1.4,62.9,86,42,21318,Monsoon,Severe,Stay indoors
2024-02-14,Mumbai,Maharashtra,450,232.8,183.2,105.8,66.9,1.57,40.4,40.3,37,3.6,28.3,34,66,16521,Autumn,Severe,Stay indoors
2025-01-21,Delhi,Delhi,396,79.5,338.5,59.4,4.2,2.16,25.0,21.7,77,21.2,78.3,34,32,14025,Monsoon,Very Poor,Stay indoors
2024-04-14,Jaipur,Rajasthan,431,111.5,278.0,72.8,60.4,0.79,136.5,40.9,68,17.4,90.1,25,58,1472,Monsoon,Severe,Stay indoors
2023-04-01,Jaipur,Rajasthan,115,198.9,24.1,88.0,79.0,1.94,90.6,21.4,43,12.0,78.4,60,52,9828,Monsoon,Moderate,Sensitive groups caution
2025-04-12,Delhi,Delhi,180,102.1,261.0,112.8,2.2,1.85,108.6,12.0,73,27.0,32.5,22,59,2058,Autumn,Moderate,Sensitive groups caution
2024-05-08,Kolkata,West Bengal,95,48.1,293.5,19.3,49.7,2.28,175.5,16.1,24,23.5,33.7,77,21,3519,Winter,Satisfactory,Normal
2023-08-20,Chennai,Tamil Nadu,279,20.9,34.7,36.5,58.7,0.58,13.7,35.5,21,17.1,103.6,87,38,21242,Monsoon,Poor,Limit outdoor activity
2023-11-09,Hyderabad,Telangana,326,87.2,251.5,86.2,74.0,3.41,116.8,38.0,39,24.5,109.8,71,47,10621,Summer,Very Poor,Stay indoors
2025-11-10,Kolkata,West Bengal,88,30.4,210.4,79.8,14.7,2.73,160.7,34.5,62,14.3,45.2,44,26,27258,Monsoon,Satisfactory,Normal
2023-11-11,Chennai,Tamil Nadu,364,200.5,281.4,64.2,50.9,1.25,21.9,23.0,89,17.4,112.4,90,52,8357,Summer,Very Poor,Stay indoors
2023-06-16,Pune,Maharashtra,135,120.9,265.1,73.5,52.2,1.24,84.7,23.0,91,23.9,78.5,81,21,20485,Winter,Moderate,Sensitive groups caution
2024-11-23,Hyderabad,Telangana,68,213.2,335.2,86.2,24.8,2.73,140.7,30.6,69,9.7,3.8,22,62,23378,Winter,Satisfactory,Normal
2023-11-23,Hyderabad,Telangana,306,235.3,286.1,102.5,52.5,0.57,76.8,43.2,84,10.2,112.8,53,28,6324,Summer,Very Poor,Stay indoors
2023-05-23,Lucknow,Uttar Pradesh,129,212.3,121.9,53.7,62.2,1.89,98.4,39.1,31,21.7,24.8,26,35,11716,Monsoon,Moderate,Sensitive groups caution
2025-04-27,Pune,Maharashtra,35,181.2,202.9,47.3,56.0,2.94,80.2,11.6,82,27.2,55.3,60,30,18260,Autumn,Good,Normal
2025-02-24,Delhi,Delhi,256,101.6,259.8,45.7,4.1,0.66,11.0,38.5,30,27.0,106.3,23,49,20692,Monsoon,Poor,Limit outdoor activity
2025-05-13,Chandigarh,Chandigarh,155,242.2,211.1,51.3,60.4,1.37,38.7,25.4,78,25.3,0.8,90,95,12170,Monsoon,Moderate,Sensitive groups caution
2025-11-27,Lucknow,Uttar Pradesh,198,130.6,200.0,73.0,23.0,2.19,88.6,38.7,39,25.1,62.2,68,72,660,Winter,Moderate,Sensitive groups caution
2023-10-04,Hyderabad,Telangana,368,105.5,67.9,46.1,31.1,0.24,120.3,44.6,32,22.0,100.2,70,67,14536,Monsoon,Very Poor,Stay indoors
2023-06-01,Ahmedabad,Gujarat,409,168.9,173.9,10.9,51.9,3.18,120.4,22.8,79,8.4,80.1,46,42,15446,Winter,Severe,Stay indoors
2025-12-29,Lucknow,Uttar Pradesh,425,236.9,297.6,56.3,33.7,3.42,55.3,28.3,76,25.7,80.5,44,82,27330,Autumn,Severe,Stay indoors
2024-06-09,Chennai,Tamil Nadu,301,222.6,87.3,14.0,35.4,2.9,43.4,34.4,40,11.2,68.0,86,55,8391,Monsoon,Very Poor,Stay indoors
2025-01-23,Chennai,Tamil Nadu,59,109.2,320.2,5.5,33.9,2.44,25.6,30.1,26,14.5,55.6,67,59,3954,Autumn,Satisfactory,Normal
2023-07-17,Kolkata,West Bengal,254,176.2,274.5,16.9,16.3,2.08,101.8,29.8,94,29.3,105.8,99,56,19054,Summer,Poor,Limit outdoor activity
2025-12-11,Mumbai,Maharashtra,222,57.6,55.4,42.6,32.5,2.0,168.8,14.2,84,8.8,8.8,73,68,4599,Autumn,Poor,Limit outdoor activity
2024-11-15,Delhi,Delhi,302,115.3,153.9,96.2,44.1,2.49,143.0,17.8,72,22.0,53.4,83,87,13391,Autumn,Very Poor,Stay indoors
2023-01-03,Hyderabad,Telangana,357,223.6,185.9,84.8,29.3,0.9,12.7,21.8,44,14.6,36.6,64,42,14062,Monsoon,Very Poor,Stay indoors
2024-11-20,Hyderabad,Telangana,60,231.6,21.9,18.4,4.9,0.69,49.0,26.1,88,14.8,104.7,42,99,23266,Winter,Satisfactory,Normal
2025-05-07,Chennai,Tamil Nadu,189,211.3,31.7,89.9,73.8,1.64,106.5,28.9,81,21.0,79.2,65,13,14090,Monsoon,Moderate,Sensitive groups caution
2023-03-23,Chennai,Tamil Nadu,100,107.3,153.9,13.6,68.0,1.77,61.0,31.1,73,14.1,14.2,96,10,20965,Summer,Satisfactory,Normal
2024-01-09,Chandigarh,Chandigarh,318,195.6,158.9,11.9,78.6,1.8,170.0,11.0,77,9.5,71.9,64,14,15397,Summer,Very Poor,Stay indoors
2025-02-20,Delhi,Delhi,350,177.6,164.1,97.0,64.8,1.26,171.2,18.6,62,10.4,48.5,73,93,18189,Autumn,Very Poor,Stay indoors
2025-06-04,Hyderabad,Telangana,427,188.4,21.0,63.8,48.1,1.06,89.5,28.9,31,25.6,65.2,33,67,18661,Autumn,Severe,Stay indoors
2025-12-19,Chennai,Tamil Nadu,196,31.2,110.0,113.8,36.2,2.21,104.5,39.4,67,27.7,105.3,97,54,24139,Autumn,Moderate,Sensitive groups caution
2025-09-03,Chandigarh,Chandigarh,260,47.2,322.4,119.0,67.9,0.77,43.9,20.1,55,16.3,101.2,67,22,19843,Winter,Poor,Limit outdoor activity
2024-08-23,Hyderabad,Telangana,386,207.6,332.0,17.8,45.1,2.1,58.5,34.4,35,24.3,41.7,43,75,23878,Summer,Very Poor,Stay indoors
2024-01-30,Chandigarh,Chandigarh,87,138.7,203.0,103.1,31.7,2.78,56.4,30.1,59,2.1,50.1,67,66,22168,Monsoon,Satisfactory,Normal
2023-09-08,Patna,Bihar,107,87.2,205.0,49.8,52.5,3.42,71.6,17.2,93,15.0,107.7,84,45,7403,Summer,Moderate,Sensitive groups caution
2024-08-29,Lucknow,Uttar Pradesh,160,208.0,263.1,85.0,77.7,2.26,36.7,12.9,93,26.3,77.6,27,98,29147,Winter,Moderate,Sensitive groups caution
2024-04-18,Pune,Maharashtra,360,24.8,230.2,79.6,43.7,1.55,19.4,22.7,76,29.0,32.3,28,62,28346,Winter,Very Poor,Stay indoors
2025-06-20,Bengaluru,Karnataka,430,133.8,266.9,6.2,64.0,3.11,106.9,26.2,83,14.7,40.5,70,21,19591,Monsoon,Severe,Stay indoors
2023-05-22,Kolkata,West Bengal,225,168.5,30.6,15.2,54.3,1.18,119.3,38.8,57,13.2,51.8,86,59,28210,Winter,Poor,Limit outdoor activity
2025-02-17,Jaipur,Rajasthan,326,151.3,252.3,65.1,59.9,1.56,33.3,16.3,77,3.2,109.4,35,94,7336,Summer,Very Poor,Stay indoors
2023-10-27,Chandigarh,Chandigarh,333,174.8,87.8,95.8,30.9,3.02,118.9,18.5,65,4.4,89.2,71,97,596,Summer,Very Poor,Stay indoors
2025-04-05,Mumbai,Maharashtra,166,242.5,311.0,76.6,26.3,0.41,53.8,31.0,95,3.0,55.9,53,68,17743,Autumn,Moderate,Sensitive groups caution
2023-12-06,Pune,Maharashtra,337,79.8,306.4,73.1,53.3,1.02,178.5,31.1,85,24.3,16.0,81,75,11547,Autumn,Very Poor,Stay indoors
2025-02-03,Mumbai,Maharashtra,137,188.2,63.3,72.4,48.5,3.1,179.2,13.5,68,1.5,30.9,74,13,14794,Winter,Moderate,Sensitive groups caution
2024-05-17,Chennai,Tamil Nadu,43,67.9,70.2,65.8,71.7,1.95,36.8,25.7,66,9.6,11.9,86,89,27840,Winter,Good,Normal
2025-06-10,Bengaluru,Karnataka,369,125.0,240.4,91.9,28.4,1.44,136.2,30.2,59,6.0,95.0,84,49,13821,Summer,Very Poor,Stay indoors
2024-04-24,Bengaluru,Karnataka,214,129.1,337.2,74.0,17.9,3.13,114.3,34.2,31,14.5,38.6,85,41,2453,Winter,Poor,Limit outdoor activity
2023-11-01,Kolkata,West Bengal,237,245.9,238.1,77.6,56.0,3.47,40.6,18.5,80,1.9,23.2,38,61,1826,Winter,Poor,Limit outdoor activity
2023-08-25,Chandigarh,Chandigarh,59,30.8,251.9,37.6,8.5,2.38,118.5,29.2,66,23.4,88.9,21,40,17731,Winter,Satisfactory,Normal
2025-08-21,Jaipur,Rajasthan,289,240.8,349.8,113.8,68.7,0.32,42.2,37.3,81,26.2,99.2,96,13,9355,Autumn,Poor,Limit outdoor activity
2024-02-23,Delhi,Delhi,428,160.5,79.3,48.9,18.2,2.06,165.8,19.5,76,7.2,9.0,50,55,4002,Summer,Severe,Stay indoors
2024-12-11,Chandigarh,Chandigarh,46,240.4,228.5,73.6,19.3,1.37,71.2,41.9,20,17.4,13.0,52,66,4764,Summer,Good,Normal
2024-07-24,Delhi,Delhi,329,52.6,217.0,25.2,45.3,2.03,14.0,44.5,94,9.8,11.3,88,74,18375,Winter,Very Poor,Stay indoors
2025-05-09,Chandigarh,Chandigarh,147,130.5,321.7,49.0,46.2,3.11,165.9,25.6,80,8.6,90.9,88,62,10717,Summer,Moderate,Sensitive groups caution
2024-01-04,Chandigarh,Chandigarh,244,239.7,183.5,62.1,61.6,2.33,145.7,17.6,31,17.0,29.3,71,60,7089,Monsoon,Poor,Limit outdoor activity
2023-04-01,Bengaluru,Karnataka,164,31.6,260.6,6.4,5.9,2.24,106.9,23.8,51,11.8,80.0,74,29,21112,Monsoon,Moderate,Sensitive groups caution
2024-11-10,Mumbai,Maharashtra,127,202.1,222.8,51.0,5.4,0.89,98.7,39.8,44,2.5,41.2,53,94,3654,Winter,Moderate,Sensitive groups caution
2024-07-22,Lucknow,Uttar Pradesh,169,171.1,84.4,48.2,48.6,2.75,90.4,17.2,69,5.9,28.9,21,29,28882,Summer,Moderate,Sensitive groups caution
2024-01-14,Jaipur,Rajasthan,51,143.8,252.6,53.7,71.1,3.35,101.0,19.7,64,11.6,75.9,61,42,29176,Autumn,Satisfactory,Normal
2023-07-21,Bengaluru,Karnataka,181,184.4,205.0,20.2,7.0,2.79,45.8,36.1,46,23.6,113.1,99,28,24521,Monsoon,Moderate,Sensitive groups caution
2025-02-23,Mumbai,Maharashtra,287,58.6,245.5,9.1,18.8,2.43,139.7,20.2,83,24.6,9.4,46,19,29288,Autumn,Poor,Limit outdoor activity
2023-03-07,Chandigarh,Chandigarh,385,190.1,332.8,9.2,43.6,1.35,149.7,24.6,45,3.6,48.3,41,42,13605,Autumn,Very Poor,Stay indoors
2023-02-26,Ahmedabad,Gujarat,132,148.1,277.6,59.2,55.0,1.0,144.2,28.5,51,6.8,49.7,72,82,8075,Summer,Moderate,Sensitive groups caution
2023-05-27,Jaipur,Rajasthan,95,136.1,43.8,9.6,35.7,0.88,119.2,16.9,92,22.1,115.9,22,94,24531,Monsoon,Satisfactory,Normal
2024-01-01,Pune,Maharashtra,430,131.8,44.1,52.4,21.5,0.42,88.2,15.3,24,16.3,68.2,80,36,27646,Winter,Severe,Stay indoors
2024-10-02,Chennai,Tamil Nadu,443,51.8,318.6,55.6,70.8,3.36,57.8,28.6,86,5.3,101.5,44,33,28935,Summer,Severe,Stay indoors
2025-05-15,Kolkata,West Bengal,409,202.3,297.5,108.1,56.4,3.14,85.6,25.5,41,4.6,113.3,31,37,25586,Monsoon,Severe,Stay indoors
2024-12-05,Patna,Bihar,204,42.2,163.5,116.3,9.6,2.37,56.8,17.8,56,13.6,10.1,22,94,9850,Autumn,Poor,Limit outdoor activity
2023-07-30,Delhi,Delhi,204,78.0,175.8,24.0,41.4,0.75,43.3,15.8,82,21.9,78.5,26,26,26729,Monsoon,Poor,Limit outdoor activity
2025-03-08,Mumbai,Maharashtra,74,85.5,139.2,113.3,43.5,2.51,173.7,12.7,47,10.9,69.1,80,13,29035,Winter,Satisfactory,Normal
2025-04-21,Ahmedabad,Gujarat,308,184.3,282.4,92.0,37.2,2.88,32.8,41.1,44,1.4,95.4,52,55,23559,Monsoon,Very Poor,Stay indoors
2023-11-27,Hyderabad,Telangana,326,115.8,104.2,44.0,50.0,3.37,147.4,30.3,68,23.0,39.1,84,77,28321,Winter,Very Poor,Stay indoors
2023-05-09,Mumbai,Maharashtra,350,217.7,126.4,94.1,47.5,3.43,155.3,26.0,55,2.0,47.7,45,78,6356,Autumn,Very Poor,Stay indoors
2023-01-21,Kolkata,West Bengal,377,127.1,243.0,46.6,54.5,2.02,64.8,12.7,21,3.8,15.1,40,27,4428,Winter,Very Poor,Stay indoors
2025-11-19,Hyderabad,Telangana,95,13.2,253.5,116.6,56.4,0.31,43.3,19.3,81,9.0,85.3,28,70,5689,Winter,Satisfactory,Normal
2024-08-22,Lucknow,Uttar Pradesh,66,239.4,187.0,68.2,73.7,2.85,41.6,16.9,60,22.7,41.9,95,23,22516,Summer,Satisfactory,Normal
2025-06-29,Chandigarh,Chandigarh,99,113.1,331.9,23.7,43.4,2.11,151.7,13.2,60,27.3,34.5,44,100,22813,Winter,Satisfactory,Normal
2025-07-24,Jaipur,Rajasthan,222,17.9,74.7,100.7,18.3,3.04,127.7,17.8,62,22.0,47.1,81,71,7688,Monsoon,Poor,Limit outdoor activity
